City,Country,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Weather,Description,Temperature Category,Humidity Category,Pressure Category,Wind Category,Weather Comfort,Wind Intensity
Dublin,IE,16.52,16.24,77,1031,0.45,Clear,clear sky,Mild,High,High,Light,Moderate,Calm
Cork,IE,18.73,18.56,73,1030,3.04,Clouds,broken clouds,Mild,High,High,Moderate,Moderate,Breezy
Galway,IE,15.46,15.18,81,1033,6.25,Clear,clear sky,Mild,High,High,Moderate,Moderate,Windy
Limerick,IE,16.52,16.29,79,1031,3.65,Clouds,broken clouds,Mild,High,High,Moderate,Moderate,Breezy
Waterford,IE,16.94,15.97,49,1030,2.24,Clouds,broken clouds,Mild,Moderate,High,Light,Comfortable,Breezy
Kilkenny,IE,16.84,16.56,76,1031,3.03,Clouds,broken clouds,Mild,High,High,Moderate,Moderate,Breezy
Sligo,IE,14.51,14.18,83,1033,3.97,Clouds,scattered clouds,Mild,High,High,Moderate,Uncomfortable,Breezy
Athlone,IE,15.92,15.63,79,1032,4.67,Clear,clear sky,Mild,High,High,Moderate,Moderate,Breezy
Drogheda,IE,16.08,15.83,80,1031,4.57,Clear,clear sky,Mild,High,High,Moderate,Moderate,Breezy
Dundalk,IE,15.69,15.43,81,1031,4.73,Clear,clear sky,Mild,High,High,Moderate,Moderate,Breezy
Navan,IE,16.01,15.73,79,1031,3.5,Clear,clear sky,Mild,High,High,Moderate,Moderate,Breezy
Bray,IE,16.47,16.31,82,1029,0.89,Clouds,scattered clouds,Mild,High,High,Light,Moderate,Calm
Tralee,IE,15.15,15.18,94,1033,1.57,Clouds,few clouds,Mild,High,High,Light,Moderate,Calm
Ennis,IE,15.77,15.49,80,1032,4.4,Clear,clear sky,Mild,High,High,Moderate,Moderate,Breezy
Carlow,IE,16.66,16.39,77,1031,3.39,Clouds,few clouds,Mild,High,High,Moderate,Moderate,Breezy
Naas,IE,16.07,15.8,79,1031,2.55,Clear,clear sky,Mild,High,High,Light,Moderate,Breezy
Wexford,IE,16.05,16.32,100,1030,1.34,Clouds,broken clouds,Mild,High,High,Light,Moderate,Calm
Letterkenny,IE,13.15,12.66,82,1033,3.94,Clouds,broken clouds,Mild,High,High,Moderate,Uncomfortable,Breezy
Mullingar,IE,15.55,15.25,80,1032,3.22,Clear,clear sky,Mild,High,High,Moderate,Moderate,Breezy
Tullamore,IE,15.64,15.37,81,1033,2.43,Clear,clear sky,Mild,High,High,Light,Moderate,Breezy
